"","names(votosi_df_acumulada)"
"1","user_id"
"2","status_id"
"3","created_at"
"4","screen_name"
"5","text"
"6","source"
"7","display_text_width"
"8","is_quote"
"9","is_retweet"
"10","favorite_count"
"11","retweet_count"
"12","hashtags"
"13","symbols"
"14","urls_url"
"15","urls_t_co"
"16","urls_expanded_url"
"17","media_url"
"18","media_t_co"
"19","media_expanded_url"
"20","media_type"
"21","ext_media_url"
"22","ext_media_t_co"
"23","ext_media_expanded_url"
"24","mentions_user_id"
"25","mentions_screen_name"
"26","lang"
"27","retweet_status_id"
"28","retweet_text"
"29","retweet_created_at"
"30","retweet_source"
"31","retweet_favorite_count"
"32","retweet_retweet_count"
"33","retweet_user_id"
"34","retweet_screen_name"
"35","retweet_name"
"36","retweet_followers_count"
"37","retweet_friends_count"
"38","retweet_statuses_count"
"39","retweet_location"
"40","retweet_description"
"41","retweet_verified"
"42","geo_coords"
"43","coords_coords"
"44","bbox_coords"
"45","status_url"
"46","name"
"47","location"
"48","description"
"49","protected"
"50","followers_count"
"51","friends_count"
"52","listed_count"
"53","statuses_count"
"54","favourites_count"
"55","account_created_at"
"56","verified"
"57","profile_image_url"
"58","date"
"59","url"
"60","profile_url"
"61","profile_expanded_url"
"62","profile_banner_url"
"63","profile_background_url"
"64","reply_to_status_id"
"65","reply_to_user_id"
"66","reply_to_screen_name"
"67","quoted_status_id"
"68","quoted_text"
"69","quoted_created_at"
"70","quoted_source"
"71","quoted_favorite_count"
"72","quoted_retweet_count"
"73","quoted_user_id"
"74","quoted_screen_name"
"75","quoted_name"
"76","quoted_followers_count"
"77","quoted_friends_count"
"78","quoted_statuses_count"
"79","quoted_location"
"80","quoted_description"
"81","quoted_verified"
"82","place_url"
"83","place_name"
"84","place_full_name"
"85","place_type"
"86","country"
"87","country_code"
